xuhao,yield
SWW11027B001,10.38
SWW11027B002,7.86
SWW11027B003,9.64
SWW11027B004,10.16
SWW11027B005,8.82
SWW11027B006,10.67
SWW11028B001,10.01
SWW11028B002,8.38
SWW11028B003,9.41
SWW11028B004,8.60
SWW11028B005T,8.23
SWW11039B001U,8.90
SWW11039B002U,9.34
SWW11039B003,8.97
SWW11039B004U,9.86
SWW11039B005U,8.82
SWW11040B001,8.82
SWW11040B0010,8.75
SWW11040B0011U,7.26
SWW11040B0012,9.12
SWW11040B0013,8.52
SWW11040B0014,7.93
SWW11040B0015,7.49
SWW11040B002,8.45
SWW11040B003,8.38
SWW11040B004,9.19
SWW11040B005U,9.04
SWW11040B006U,8.23
SWW11040B007,7.78
SWW11040B008,8.45
SWW11040B009,8.45
SWW11043B001,7.71
SWW11043B002,8.01
SWW11043B003U,8.38
SWW11043B004U,7.71
SWW11043B005,8.30
SWW11043B006U,7.93
SWW11044B001T,8.15
SWW11044B002,9.04
SWW11044B003,7.04
SWW11047B001U,6.30
SWW11047B002,9.12
SWW11047B003,7.93
SWW11047B005,8.75
SWW11050B001U,9.71
SWW11050B002,9.12
SWW11050B003,9.27
SWW11050B004U,8.52
SWW11050B005U,9.71
SWW11050B006,9.12
SWW11050B007U,8.30
SWW11051B001,8.90
SWW11051B002,9.27
SWW11051B003,7.12
SWW11051B004,10.90
SWW11051B005U,8.67
SWW11051B006,9.86
SWW11053B001,9.56
SWW11053B002,7.71
SWW11053B003,8.23
SWW11053B004,8.08
SWW11053B005,8.23
SWW11054B001U,6.89
SWW11055B001,7.78
SWW11055B002,9.12
SWW11055B003T,8.23
SWW11055B004U,9.19
SWW11057B001,8.67
SWW11059B001,8.97
SWW11059B002U,9.19
SWW11059B003,10.08
SWW11059B004U,8.75
SWW11059B005U,10.08
SWW11059B006U,9.04
SWW11059B007U,10.08
SWW11062B001U,8.08
SWW11062B002U,8.90
SWW11062B003,8.08
SWW11062B004U,8.90
SWW11062B005,8.75
SWW11062B006,9.27
SWW11062B007,8.60
SWW11062B008U,8.38
SWW11062B009U,8.23
SWW11066B001,7.86
SWW11066B002,8.01
SWW11066B003,8.15
SWW11066B004,7.86
SWW11066B005,8.30
SWW11066B006,8.67
SWW11066B007,8.38
SWW11066B008,6.67
SWW11068B001,8.67
SWW11068B002,9.27
SWW11068B003,7.86
SWW11070B001,9.04
SWW11070B002,7.86
SWW11070B003,9.19
SWW11071B001,8.15
SWW11071B002,9.34
SWW11071B003,8.75
SWW11071B004,8.90
SWW11071B005,8.23
SWW11071B006,8.08
SWW11075B001,7.71
SWW11075B002T,9.86
SWW11075B003,8.01
SWW11075B004,9.93
SWW11075B005,8.60
SWW11076B001U,10.23
SWW11076B002,8.52
SWW11076B003,11.05
SWW11076B004,10.38
SWW11076B005,10.90
SWW11076B006,9.56
SWW11076B007,10.08
SWW11076B008,10.53
SWW11077B001,9.56
SWW11077B002,10.97
SWW11077B003,8.60
SWW11077B004,9.19
SWW11077B005,9.56
SWW11077B006U,8.45
SWW11078B001,8.01
SWW11078B002,4.89
SWW11078B003,9.12
SWW11079B001,8.82
SWW11079B002,9.41
SWW11079B003,8.75
SWW11079B004,8.67
SWW11079B005,9.04
SWW11079B006,9.93
SWW11079B007,8.60
SWW11079B008,8.97
SWW11079B009,7.93
SWW11080B001,8.38
SWW11080B002,7.49
SWW11080B003,7.78
SWW11080B004,9.04
SWW11082B001T,8.75
SWW11083B001,7.41
SWW11083B002,8.60
SWW11083B003T,9.12
SWW11083B004,7.56
SWW11084B001,8.60
SWW11084B002T,9.34
SWW11084B003,8.67
SWW11084B004,8.75
SWW11084B005,9.12
SWW11084B006,9.04
SWW11084B007,8.38
SWW11084B008T,9.64
SWW11087B001,9.19
SWW11087B002,9.79
SWW11087B003,9.79
SWW11090B001,7.56
SWW11090B002,7.86
SWW11090B003,9.34
SWW11090B004,6.97
SWW11090B005,8.90
SWW11094B001,9.71
SWW11094B002,9.19
SWW11094B003,10.16
SWW11094B004,9.71
SWW11094B005,10.60
SWW11094B006,9.86
SWW11095B001,9.93
SWW11095B002,9.86
SWW11098B001,10.23
SWW11098B002U,9.19
SWW11099B001,8.90
SWW11099B002,8.52
SWW11099B003,9.71
SWW11099B004,9.64
SWW11099B005,9.04
SWW11102B001,10.08
SWW11104B001,11.05
SWW11104B002,9.12
SWW11104B003,10.45
SWW11107B001,8.97
SWW11107B002,8.38
SWW11107B003,8.82
SWW11112B001,9.04
SWW11112B002,9.27
SWW11112B003,9.71
SWW11112B004,9.79
SWW11112B005,9.27
SWW11112B006,9.71
SWW11112B007,10.01
SWW11113B001,8.38
SWW11113B002,9.71
SWW11113B003,9.86
SWW11113B004,9.49
SWW11113B005,8.52
SWW11113B006,7.49
SWW11113B007,8.52
SWW11113B008,7.86
SWW11115B001U,7.49
SWW11115B002,8.15
SWW11115B003,7.34
SWW11116B001,8.15
SWW11116B002,8.67
SWW11116B003,7.64
SWW11117B001,7.93
SWW11117B002,10.16
SWW11117B003,9.12
SWW11117B004,8.97
SWW11117B005,9.19
SWW11117B006,10.45
SWW11117B007,10.67
SWW11117B008,7.93
SWW11117B009,8.75
SWW11118B001,7.12
SWW11118B002,7.64
SWW11118B003,6.60
SWW11118B004,8.01
SWW11120B001,8.30
SWW11120B0010,9.41
SWW11120B0011,7.86
SWW11120B002,8.01
